State,Year,commodity,total_production
UTAH,1941,Milk,592000000.0
VERMONT,1941,Milk,1451000000.0
VIRGINIA,1941,Milk,1590000000.0
WASHINGTON,1941,Milk,2018000000.0
WEST VIRGINIA,1941,Milk,796000000.0
WISCONSIN,1941,Milk,13625000000.0
WYOMING,1941,Milk,298000000.0
ALABAMA,1942,Milk,1297000000.0
ARIZONA,1942,Milk,253000000.0
ARKANSAS,1942,Milk,1452000000.0
CALIFORNIA,1942,Milk,5188000000.0
COLORADO,1942,Milk,1092000000.0
CONNECTICUT,1942,Milk,711000000.0
DELAWARE,1942,Milk,157000000.0
FLORIDA,1942,Milk,385000000.0
GEORGIA,1942,Milk,1120000000.0
IDAHO,1942,Milk,1368000000.0
ILLINOIS,1942,Milk,5617000000.0
INDIANA,1942,Milk,3557000000.0
IOWA,1942,Milk,6864000000.0
KANSAS,1942,Milk,3332000000.0
KENTUCKY,1942,Milk,2163000000.0
LOUISIANA,1942,Milk,667000000.0
MAINE,1942,Milk,616000000.0
MARYLAND,1942,Milk,984000000.0
MASSACHUSETTS,1942,Milk,811000000.0
MICHIGAN,1942,Milk,5296000000.0
MINNESOTA,1942,Milk,8995000000.0
MISSISSIPPI,1942,Milk,1311000000.0
MISSOURI,1942,Milk,3715000000.0
MONTANA,1942,Milk,754000000.0
NEBRASKA,1942,Milk,2928000000.0
NEVADA,1942,Milk,115000000.0
NEW HAMPSHIRE,1942,Milk,348000000.0
NEW JERSEY,1942,Milk,1028000000.0
NEW MEXICO,1942,Milk,306000000.0
NEW YORK,1942,Milk,8107000000.0
NORTH CAROLINA,1942,Milk,1402000000.0
NORTH DAKOTA,1942,Milk,2277000000.0
OHIO,1942,Milk,5034000000.0
OKLAHOMA,1942,Milk,2713000000.0
OREGON,1942,Milk,1446000000.0
PENNSYLVANIA,1942,Milk,5022000000.0
RHODE ISLAND,1942,Milk,135000000.0
SOUTH CAROLINA,1942,Milk,587000000.0
SOUTH DAKOTA,1942,Milk,1867000000.0
TENNESSEE,1942,Milk,2106000000.0
TEXAS,1942,Milk,4327000000.0
UTAH,1942,Milk,621000000.0
VERMONT,1942,Milk,1466000000.0
VIRGINIA,1942,Milk,1622000000.0
WASHINGTON,1942,Milk,2007000000.0
WEST VIRGINIA,1942,Milk,823000000.0
WISCONSIN,1942,Milk,14239000000.0
WYOMING,1942,Milk,302000000.0
ALABAMA,1943,Milk,1309000000.0
ARIZONA,1943,Milk,257000000.0
ARKANSAS,1943,Milk,1388000000.0
CALIFORNIA,1943,Milk,5223000000.0
COLORADO,1943,Milk,1099000000.0
CONNECTICUT,1943,Milk,688000000.0
DELAWARE,1943,Milk,160000000.0
FLORIDA,1943,Milk,420000000.0
GEORGIA,1943,Milk,1149000000.0
